pattern_id,category,trigger_regex,default_status,decision_test,action,reason,false_positive_guard,official_basis,machine_note
OUT01,旧考制,"选修\s*[35].{0,12}(二选一|任选一题)|从.{0,20}(物质结构与性质|有机化学基础).{0,12}任选",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,删除旧制度说明；具体题目重新映射,老高考模块二选一制度已失效,仅出现旧书名不命中，参见CTX11,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT02,旧考制,"化学与技术.{0,12}(选做题|选考题)|选修\s*2.{0,12}(选做|选考)",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,删除制度性栏目；能映射的流程题另收,现行福建选考不设旧版化学与技术独立选做模块,工业流程、绿色化学本身可能在范围内,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT03,高等原子结构,"薛定谔方程|Schr[oö]dinger|波函数.{0,8}(求解|归一化)|径向分布函数",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,从学生核心库排除,需要大学量子化学理论,题干把结论作为信息且只做课标内判断时可CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT04,高等原子结构,"径向节点|角向节点|量子数.{0,8}(系统计算|组合计数)|Slater\s*规则|斯莱特规则",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,超出基本能层、能级、轨道和电子排布要求,简单s/p轨道形状、电子云、排布规则仍在选必2,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT05,高等原子结构,原子项符号|光谱项|群论|不可约表示|特征标表,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,竞赛/大学原子结构与对称性理论,原子光谱的证据功能仍在选必2,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT06,高级成键,"完整分子轨道能级|分子轨道理论.{0,10}(推导|系统)|H[uü]ckel|休克尔规则",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,超出课标基本成键模型,σ/π键、键参数、极性在选必2,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT07,高级成键,晶体场理论|配体场理论|晶场分裂|配体场分裂|CFSE|光谱化学序列,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,超出简单配位键、配合物与性质要求,简单配合物组成、颜色、制备与应用仍在选必2,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT08,高级成键,18电子规则|EAN规则|Wade规则|韦德规则|金属羰基簇,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,竞赛/大学配位与簇合物理论,陌生配合物给足信息时可CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT09,高级晶体学,14种布拉维格子|布拉维格子|米勒指数|倒易点阵|倒易晶格,OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,超出简单晶胞与晶体类型,晶胞分摊、配位数、密度简单计算仍在选必2,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
OUT10,高级晶体学,"布拉格方程.{0,8}(推导|精确计算)|Bragg.{0,8}(derive|derivation)|XRD.{0,8}(精修|Rietveld)",OUT,解题是否必须记忆/调用题干未给出的该课外理论、公式、规则或冷僻事实？是则OUT；完整给信息且只做课标内推理则CTX-IN。,排除,专业晶体学定量与精修,X射线衍射的证据功能可IN/CTX-IN,ICTR-CS2020-FULL;FJ-GUIDE2021;FJ-AUX2026,Python re（IGNORECASE）可编译；只作候选召回，最终须按decision_test复核
